timestep,decision,prb_decision,policy_decision
284,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
285,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
286,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
287,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
288,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
289,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
290,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
291,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
292,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
293,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
294,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
295,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
296,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
297,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
298,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
299,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
300,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
301,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
302,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
303,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
304,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
305,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
306,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
307,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
308,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
309,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
310,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
311,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
312,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
