timestep,slice_id,prb_decision,sched_decision,tx_brate,tx_pckts,dl_buffer
494,1,"const(prb, C1)",const(sched),"inc(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
494,2,"const(prb, C4)",toWF(sched),"dec(tx_brate, Q2)","dec(tx_pckts, Q2)","inc(dl_buffer, Q3)"
495,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q4)"
495,1,"inc(prb, C2)",const(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","inc(dl_buffer, Q3)"
495,2,"dec(prb, C2)",const(sched),"const(tx_brate, Q2)","inc(tx_pckts, Q3)","inc(dl_buffer, Q3)"
496,0,"const(prb, C2)",toRR(sched),"dec(tx_brate, Q4)","dec(tx_pckts, Q4)","dec(dl_buffer, Q4)"
496,1,"dec(prb, C1)",const(sched),"inc(tx_brate, Q1)","inc(tx_pckts, Q1)","const(dl_buffer, Q3)"
496,2,"inc(prb, C3)",toRR(sched),"inc(tx_brate, Q2)","dec(tx_pckts, Q2)","dec(dl_buffer, Q1)"
497,0,"dec(prb, C1)",toWF(sched),"dec(tx_brate, Q3)","inc(tx_pckts, Q4)","inc(dl_buffer, Q4)"
497,1,"const(prb, C1)",const(sched),"const(tx_brate, Q1)","inc(tx_pckts, Q2)","const(dl_buffer, Q3)"
497,2,"inc(prb, C4)",const(sched),"inc(tx_brate, Q3)","inc(tx_pckts, Q3)","const(dl_buffer, Q1)"
498,0,"const(prb, C1)",const(sched),"dec(tx_brate, Q3)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
498,1,"const(prb, C1)",toPF(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","dec(dl_buffer, Q1)"
498,2,"const(prb, C4)",const(sched),"dec(tx_brate, Q2)","dec(tx_pckts, Q2)","const(dl_buffer, Q1)"
499,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q4)"
499,1,"inc(prb, C2)",toWF(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
499,2,"dec(prb, C2)",toWF(sched),"const(tx_brate, Q2)","const(tx_pckts, Q2)","const(dl_buffer, Q1)"
500,0,"const(prb, C2)",const(sched),"dec(tx_brate, Q4)","const(tx_pckts, Q4)","dec(dl_buffer, Q3)"
500,1,"dec(prb, C1)",toRR(sched),"inc(tx_brate, Q2)","inc(tx_pckts, Q1)","const(dl_buffer, Q1)"
500,2,"inc(prb, C3)",toPF(sched),"inc(tx_brate, Q3)","inc(tx_pckts, Q3)","const(dl_buffer, Q1)"
501,0,"const(prb, C2)",const(sched),"const(tx_brate, Q4)","const(tx_pckts, Q4)","inc(dl_buffer, Q3)"
501,1,"inc(prb, C2)",toWF(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
501,2,"dec(prb, C2)",toWF(sched),"dec(tx_brate, Q2)","inc(tx_pckts, Q3)","const(dl_buffer, Q1)"
502,0,"const(prb, C2)",const(sched),"const(tx_brate, Q4)","const(tx_pckts, Q4)","inc(dl_buffer, Q3)"
502,1,"const(prb, C2)",const(sched),"dec(tx_brate, Q1)","inc(tx_pckts, Q2)","inc(dl_buffer, Q3)"
502,2,"const(prb, C2)",const(sched),"inc(tx_brate, Q3)","dec(tx_pckts, Q3)","inc(dl_buffer, Q3)"
503,0,"dec(prb, C1)",toWF(sched),"dec(tx_brate, Q3)","const(tx_pckts, Q4)","inc(dl_buffer, Q4)"
503,1,"dec(prb, C1)",const(sched),"inc(tx_brate, Q2)","inc(tx_pckts, Q2)","dec(dl_buffer, Q1)"
503,2,"inc(prb, C4)",toRR(sched),"inc(tx_brate, Q3)","dec(tx_pckts, Q2)","dec(dl_buffer, Q1)"
504,0,"inc(prb, C2)",toPF(sched),"inc(tx_brate, Q4)","const(tx_pckts, Q4)","const(dl_buffer, Q4)"
504,1,"inc(prb, C2)",const(sched),"dec(tx_brate, Q1)","dec(tx_pckts, Q1)","const(dl_buffer, Q1)"
