timestep,group,group_members,MSEUr_mean,DTUr_mean,sched_members,sched_members_complete,decision,reward
1731,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q4, 75)",0.799
1732,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[3, 6], [0, 1, 2, 4, 5]]","const(G0, Q4, 75)",0.792
1733,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[2, 6], [0, 1, 3, 4, 5]]","const(G0, Q4, 75)",0.794
1734,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.793
1735,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[3, 6], [0, 1, 2, 4, 5]]","const(G0, Q4, 75)",0.798
1736,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","const(G0, Q4, 75)",0.794
1737,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[3, 4, 6], [0, 1, 2, 5]]","const(G0, Q4, 75)",0.797
1738,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","const(G0, Q4, 75)",0.795
1739,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 2, 3, 4, 6], [0, 5]]","const(G0, Q4, 75)",0.794
1740,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","const(G0, Q4, 75)",0.794
1741,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.794
1742,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q4, 75)",0.795
1743,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q4, 75)",0.795
1744,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[0, 1, 3], [2, 4, 5, 6]]","const(G0, Q4, 75)",0.797
1745,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[2, 3, 4, 6], [0, 1, 5]]","const(G0, Q4, 75)",0.798
1746,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 5], [0, 2, 3, 4, 6]]","const(G0, Q4, 75)",0.799
1747,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 4, 5, 6], [0, 2, 3]]","const(G0, Q4, 75)",0.801
1748,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 5], [0, 2, 3, 4, 6]]","const(G0, Q4, 75)",0.793
1749,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","const(G0, Q4, 75)",0.795
1750,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[0, 3, 6], [1, 2, 4, 5]]","const(G0, Q4, 75)",0.796
