timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
53,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 4, 6], [0, 5]]","[[1, 2, 3, 4, 6], [0, 5]]","const(G0, Q4, 75)",0.764
54,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","inc(G0, Q4, 75)",0.858
55,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 3, 5, 6], [2, 4]]","[[0, 1, 3, 5, 6], [2, 4]]","dec(G0, Q4, 75)",0.795
56,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","inc(G0, Q4, 75)",0.861
57,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 4, 5, 6], [2, 3]]","[[0, 1, 4, 5, 6], [2, 3]]","dec(G0, Q4, 75)",0.798
58,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 3, 4, 6], [0, 2, 5]]","[[1, 3, 4, 6], [0, 2, 5]]","dec(G0, Q4, 50)",0.717
59,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","inc(G0, Q4, 75)",0.785
60,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G0, Q4, 75)",0.853
61,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","const(G0, Q4, 75)",0.863
62,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","const(G0, Q4, 75)",0.861
63,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","const(G0, Q4, 75)",0.867
64,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","dec(G0, Q4, 75)",0.789
65,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 4, 5, 6], [0, 3]]","[[1, 2, 4, 5, 6], [0, 3]]","const(G0, Q4, 75)",0.784
66,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 3, 4, 5, 6], [1, 2]]","[[0, 3, 4, 5, 6], [1, 2]]","const(G0, Q4, 75)",0.796
67,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 3, 5, 6], [4]]","[[0, 1, 2, 3, 5, 6], [4]]","inc(G0, Q4, 75)",0.868
68,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","const(G0, Q4, 75)",0.866
69,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 1, 2, 3, 4, 6], [5]]","const(G0, Q4, 75)",0.865
70,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","const(G0, Q4, 75)",0.872
71,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 3, 4, 5, 6], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","const(G0, Q4, 75)",0.864
72,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 3, 4, 5], [1, 6]]","[[0, 2, 3, 4, 5], [1, 6]]","dec(G0, Q4, 75)",0.794
73,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 4, 5, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","inc(G0, Q4, 75)",0.866
74,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 3, 4, 5, 6], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","const(G0, Q4, 75)",0.867
75,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","const(G0, Q4, 75)",0.857
76,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 4, 5, 6], [0, 1, 3]]","[[2, 4, 5, 6], [0, 1, 3]]","dec(G0, Q3, 50)",0.712
77,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 3, 4, 5, 6], [1, 2]]","[[0, 3, 4, 5, 6], [1, 2]]","inc(G0, Q4, 75)",0.792
78,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 5, 6], [3, 4]]","[[0, 1, 2, 5, 6], [3, 4]]","const(G0, Q4, 75)",0.788
79,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","const(G0, Q4, 75)",0.796
80,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 3, 4, 5], [1, 6]]","[[0, 2, 3, 4, 5], [1, 6]]","const(G0, Q4, 75)",0.8
81,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4, 5], [0, 1, 6]]","[[2, 3, 4, 5], [0, 1, 6]]","dec(G0, Q3, 50)",0.729
82,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 4, 5, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","inc(G0, Q4, 75)",0.873
83,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 4, 6], [0, 5]]","[[1, 2, 3, 4, 6], [0, 5]]","dec(G0, Q4, 75)",0.792
84,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 4, 5, 6], [1, 3]]","[[0, 2, 4, 5, 6], [1, 3]]","const(G0, Q4, 75)",0.783
85,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 5, 6], [3, 4]]","[[0, 1, 2, 5, 6], [3, 4]]","const(G0, Q4, 75)",0.778
86,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 3, 4, 5, 6], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","inc(G0, Q4, 75)",0.853
87,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 4, 5, 6], [1, 3]]","[[0, 2, 4, 5, 6], [1, 3]]","dec(G0, Q3, 75)",0.788
88,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4, 5, 6], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","inc(G0, Q4, 75)",0.864
89,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 4, 5, 6], [0, 3]]","[[1, 2, 4, 5, 6], [0, 3]]","dec(G0, Q3, 75)",0.776
