timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
453,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
454,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.322
455,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[3], [0, 1, 2, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.325
455,1,[4],"const(MSEUr, Q4)","const(DTUr, Q3)","[[], [4]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G1, Q1, 0)",0.325
456,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
457,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.327
457,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.327
458,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.327
458,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.327
459,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","dec(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.321
460,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.322
461,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.322
462,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.322
