timestep,decision,prb_decision,policy_decision
537,"(18, 9, 23, 0, 1, 1)","[18, 9, 23]","[0, 1, 1]"
538,"(24, 21, 5, 1, 2, 0)","[24, 21, 5]","[1, 2, 0]"
539,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
540,"(30, 15, 5, 0, 0, 1)","[30, 15, 5]","[0, 0, 1]"
541,"(30, 15, 5, 2, 1, 1)","[30, 15, 5]","[2, 1, 1]"
542,"(24, 15, 11, 0, 2, 1)","[24, 15, 11]","[0, 2, 1]"
543,"(18, 15, 17, 2, 0, 2)","[18, 15, 17]","[2, 0, 2]"
544,"(36, 9, 5, 0, 0, 0)","[36, 9, 5]","[0, 0, 0]"
545,"(18, 9, 23, 2, 1, 0)","[18, 9, 23]","[2, 1, 0]"
546,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
547,"(18, 9, 23, 2, 0, 1)","[18, 9, 23]","[2, 0, 1]"
548,"(12, 15, 23, 0, 2, 1)","[12, 15, 23]","[0, 2, 1]"
549,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
550,"(30, 9, 11, 0, 0, 1)","[30, 9, 11]","[0, 0, 1]"
551,"(30, 9, 11, 1, 0, 2)","[30, 9, 11]","[1, 0, 2]"
552,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
553,"(30, 9, 11, 2, 2, 0)","[30, 9, 11]","[2, 2, 0]"
554,"(36, 9, 5, 2, 0, 0)","[36, 9, 5]","[2, 0, 0]"
555,"(30, 9, 11, 0, 1, 0)","[30, 9, 11]","[0, 1, 0]"
556,"(24, 21, 5, 0, 0, 1)","[24, 21, 5]","[0, 0, 1]"
557,"(36, 9, 5, 1, 0, 2)","[36, 9, 5]","[1, 0, 2]"
558,"(36, 9, 5, 0, 1, 1)","[36, 9, 5]","[0, 1, 1]"
559,"(24, 21, 5, 1, 0, 0)","[24, 21, 5]","[1, 0, 0]"
560,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
561,"(24, 15, 11, 1, 1, 0)","[24, 15, 11]","[1, 1, 0]"
562,"(24, 21, 5, 1, 0, 0)","[24, 21, 5]","[1, 0, 0]"
563,"(30, 9, 11, 1, 0, 1)","[30, 9, 11]","[1, 0, 1]"
564,"(30, 9, 11, 0, 0, 1)","[30, 9, 11]","[0, 0, 1]"
565,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
566,"(18, 15, 17, 2, 0, 0)","[18, 15, 17]","[2, 0, 0]"
567,"(24, 21, 5, 2, 2, 0)","[24, 21, 5]","[2, 2, 0]"
568,"(30, 15, 5, 1, 1, 2)","[30, 15, 5]","[1, 1, 2]"
569,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
570,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
571,"(18, 15, 17, 0, 2, 2)","[18, 15, 17]","[0, 2, 2]"
572,"(36, 9, 5, 1, 1, 0)","[36, 9, 5]","[1, 1, 0]"
573,"(24, 21, 5, 2, 0, 0)","[24, 21, 5]","[2, 0, 0]"
574,"(36, 9, 5, 1, 0, 0)","[36, 9, 5]","[1, 0, 0]"
575,"(36, 9, 5, 0, 2, 0)","[36, 9, 5]","[0, 2, 0]"
576,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
577,"(24, 15, 11, 0, 2, 2)","[24, 15, 11]","[0, 2, 2]"
578,"(36, 9, 5, 2, 0, 1)","[36, 9, 5]","[2, 0, 1]"
579,"(30, 15, 5, 1, 0, 1)","[30, 15, 5]","[1, 0, 1]"
580,"(18, 15, 17, 1, 1, 1)","[18, 15, 17]","[1, 1, 1]"
581,"(24, 21, 5, 2, 0, 0)","[24, 21, 5]","[2, 0, 0]"
582,"(24, 21, 5, 1, 1, 1)","[24, 21, 5]","[1, 1, 1]"
583,"(30, 15, 5, 2, 0, 2)","[30, 15, 5]","[2, 0, 2]"
584,"(30, 15, 5, 2, 0, 2)","[30, 15, 5]","[2, 0, 2]"
585,"(24, 21, 5, 1, 2, 1)","[24, 21, 5]","[1, 2, 1]"
586,"(18, 9, 23, 2, 1, 0)","[18, 9, 23]","[2, 1, 0]"
587,"(30, 9, 11, 2, 2, 2)","[30, 9, 11]","[2, 2, 2]"
588,"(36, 9, 5, 1, 1, 1)","[36, 9, 5]","[1, 1, 1]"
589,"(30, 15, 5, 0, 2, 2)","[30, 15, 5]","[0, 2, 2]"
590,"(30, 9, 11, 0, 0, 1)","[30, 9, 11]","[0, 0, 1]"
591,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
592,"(36, 9, 5, 0, 1, 2)","[36, 9, 5]","[0, 1, 2]"
593,"(24, 21, 5, 2, 0, 1)","[24, 21, 5]","[2, 0, 1]"
594,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
595,"(30, 15, 5, 2, 2, 2)","[30, 15, 5]","[2, 2, 2]"
596,"(30, 15, 5, 0, 1, 1)","[30, 15, 5]","[0, 1, 1]"
597,"(36, 9, 5, 2, 1, 2)","[36, 9, 5]","[2, 1, 2]"
598,"(30, 15, 5, 2, 2, 2)","[30, 15, 5]","[2, 2, 2]"
599,"(36, 9, 5, 2, 0, 0)","[36, 9, 5]","[2, 0, 0]"
600,"(12, 15, 23, 2, 2, 0)","[12, 15, 23]","[2, 2, 0]"
601,"(18, 15, 17, 2, 0, 1)","[18, 15, 17]","[2, 0, 1]"
602,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
603,"(30, 9, 11, 1, 0, 1)","[30, 9, 11]","[1, 0, 1]"
604,"(36, 9, 5, 2, 0, 0)","[36, 9, 5]","[2, 0, 0]"
605,"(30, 15, 5, 1, 1, 0)","[30, 15, 5]","[1, 1, 0]"
606,"(30, 15, 5, 2, 2, 2)","[30, 15, 5]","[2, 2, 2]"
607,"(30, 9, 11, 1, 1, 0)","[30, 9, 11]","[1, 1, 0]"
608,"(36, 9, 5, 0, 1, 2)","[36, 9, 5]","[0, 1, 2]"
609,"(30, 9, 11, 2, 1, 2)","[30, 9, 11]","[2, 1, 2]"
610,"(36, 9, 5, 0, 2, 1)","[36, 9, 5]","[0, 2, 1]"
611,"(24, 15, 11, 0, 2, 1)","[24, 15, 11]","[0, 2, 1]"
612,"(30, 9, 11, 0, 2, 2)","[30, 9, 11]","[0, 2, 2]"
613,"(24, 21, 5, 0, 2, 1)","[24, 21, 5]","[0, 2, 1]"
614,"(36, 9, 5, 0, 0, 0)","[36, 9, 5]","[0, 0, 0]"
